,index,image_link,group_id,entity_name,file_name
28964,28999,https://m.media-amazon.com/images/I/51904LG-qDL.jpg,279307,item_weight,51904LG-qDL.jpg
28965,29000,https://m.media-amazon.com/images/I/51906u3mjaL.jpg,292475,width,51906u3mjaL.jpg
28966,29001,https://m.media-amazon.com/images/I/5190BxDMaIL.jpg,411423,item_weight,5190BxDMaIL.jpg
28967,29002,https://m.media-amazon.com/images/I/5190E5t4LJL.jpg,200507,width,5190E5t4LJL.jpg
28968,29003,https://m.media-amazon.com/images/I/5190E5t4LJL.jpg,200507,height,5190E5t4LJL.jpg
28969,29004,https://m.media-amazon.com/images/I/5190E5t4LJL.jpg,200507,depth,5190E5t4LJL.jpg
28970,29005,https://m.media-amazon.com/images/I/5190PR8z9LL.jpg,478428,wattage,5190PR8z9LL.jpg
28971,29006,https://m.media-amazon.com/images/I/5190RCsia+L.jpg,308430,width,5190RCsia+L.jpg
28972,29007,https://m.media-amazon.com/images/I/5190TzS2LDL.jpg,599772,height,5190TzS2LDL.jpg
28973,29008,https://m.media-amazon.com/images/I/5190cheNK2S.jpg,436746,depth,5190cheNK2S.jpg
28974,29009,https://m.media-amazon.com/images/I/5191+vqQkQL.jpg,174276,width,5191+vqQkQL.jpg
28975,29010,https://m.media-amazon.com/images/I/5191-0JFNPL.jpg,208023,depth,5191-0JFNPL.jpg
28976,29011,https://m.media-amazon.com/images/I/5191-0JFNPL.jpg,208023,height,5191-0JFNPL.jpg
28977,29012,https://m.media-amazon.com/images/I/5191AxxZ1mL.jpg,752266,height,5191AxxZ1mL.jpg
28978,29013,https://m.media-amazon.com/images/I/5191AxxZ1mL.jpg,752266,depth,5191AxxZ1mL.jpg
28979,29014,https://m.media-amazon.com/images/I/5191IVF5ALL.jpg,325604,maximum_weight_recommendation,5191IVF5ALL.jpg
28980,29015,https://m.media-amazon.com/images/I/5191Nim1RdL.jpg,430434,height,5191Nim1RdL.jpg
28981,29016,https://m.media-amazon.com/images/I/5191Nim1RdL.jpg,430434,depth,5191Nim1RdL.jpg
28982,29017,https://m.media-amazon.com/images/I/5191Nim1RdL.jpg,430434,width,5191Nim1RdL.jpg
28983,29018,https://m.media-amazon.com/images/I/5191PuttgfL.jpg,521308,width,5191PuttgfL.jpg
28984,29019,https://m.media-amazon.com/images/I/5191YLDp3kL.jpg,311997,height,5191YLDp3kL.jpg
28985,29020,https://m.media-amazon.com/images/I/5191Z1snW8L.jpg,949192,depth,5191Z1snW8L.jpg
28986,29021,https://m.media-amazon.com/images/I/5191Z1snW8L.jpg,949192,height,5191Z1snW8L.jpg
28987,29022,https://m.media-amazon.com/images/I/5191ZehLSDL.jpg,594224,width,5191ZehLSDL.jpg
28988,29023,https://m.media-amazon.com/images/I/5191dThZ15L.jpg,949192,height,5191dThZ15L.jpg
28989,29024,https://m.media-amazon.com/images/I/5191enLaMLL.jpg,276700,voltage,5191enLaMLL.jpg
28990,29025,https://m.media-amazon.com/images/I/5191enLaMLL.jpg,276700,wattage,5191enLaMLL.jpg
28991,29026,https://m.media-amazon.com/images/I/5191izGHEzL.jpg,986932,height,5191izGHEzL.jpg
28992,29027,https://m.media-amazon.com/images/I/519241+Wo9L.jpg,952470,depth,519241+Wo9L.jpg
28993,29028,https://m.media-amazon.com/images/I/519241+Wo9L.jpg,952470,height,519241+Wo9L.jpg
28994,29029,https://m.media-amazon.com/images/I/519265Nfy7L.jpg,536334,width,519265Nfy7L.jpg
28995,29030,https://m.media-amazon.com/images/I/5192EcZdGyL.jpg,478233,height,5192EcZdGyL.jpg
28996,29031,https://m.media-amazon.com/images/I/5192RohaBuL.jpg,237000,item_weight,5192RohaBuL.jpg
28997,29032,https://m.media-amazon.com/images/I/5192YEY5nqL.jpg,939426,maximum_weight_recommendation,5192YEY5nqL.jpg
28998,29033,https://m.media-amazon.com/images/I/5192hl+dnvL.jpg,210293,width,5192hl+dnvL.jpg
28999,29034,https://m.media-amazon.com/images/I/5192y5fHFQL.jpg,478357,width,5192y5fHFQL.jpg
29000,29035,https://m.media-amazon.com/images/I/5192ywS7TwL.jpg,781426,depth,5192ywS7TwL.jpg
29001,29036,https://m.media-amazon.com/images/I/5192ywS7TwL.jpg,781426,height,5192ywS7TwL.jpg
