,index,image_link,group_id,entity_name,file_name
65165,65224,https://m.media-amazon.com/images/I/51mf-KMugiL.jpg,297918,item_weight,51mf-KMugiL.jpg
65166,65225,https://m.media-amazon.com/images/I/51mf14uYY7L.jpg,489118,item_weight,51mf14uYY7L.jpg
65167,65226,https://m.media-amazon.com/images/I/51mf3ukWoyL.jpg,881883,depth,51mf3ukWoyL.jpg
65168,65227,https://m.media-amazon.com/images/I/51mf3ukWoyL.jpg,881883,width,51mf3ukWoyL.jpg
65169,65228,https://m.media-amazon.com/images/I/51mf3zkFepL.jpg,681445,height,51mf3zkFepL.jpg
65170,65229,https://m.media-amazon.com/images/I/51mfGerac6L.jpg,810266,depth,51mfGerac6L.jpg
65171,65230,https://m.media-amazon.com/images/I/51mfGerac6L.jpg,810266,height,51mfGerac6L.jpg
65172,65231,https://m.media-amazon.com/images/I/51mfSgNuU7L.jpg,640408,depth,51mfSgNuU7L.jpg
65173,65232,https://m.media-amazon.com/images/I/51mfSgNuU7L.jpg,640408,width,51mfSgNuU7L.jpg
65174,65233,https://m.media-amazon.com/images/I/51mfVGhJIZL.jpg,823083,depth,51mfVGhJIZL.jpg
65175,65234,https://m.media-amazon.com/images/I/51mfVGhJIZL.jpg,823083,height,51mfVGhJIZL.jpg
65176,65235,https://m.media-amazon.com/images/I/51mfdGJggdL.jpg,836556,width,51mfdGJggdL.jpg
65177,65236,https://m.media-amazon.com/images/I/51mfufBbufL.jpg,507467,item_weight,51mfufBbufL.jpg
65178,65237,https://m.media-amazon.com/images/I/51mfufBbufL.jpg,507467,voltage,51mfufBbufL.jpg
65179,65238,https://m.media-amazon.com/images/I/51mfyNmnFoL.jpg,452717,width,51mfyNmnFoL.jpg
65180,65239,https://m.media-amazon.com/images/I/51mgXJctgrL.jpg,279307,item_weight,51mgXJctgrL.jpg
65181,65240,https://m.media-amazon.com/images/I/51mgfElq36L.jpg,802198,width,51mgfElq36L.jpg
65182,65241,https://m.media-amazon.com/images/I/51mgtCVidOL.jpg,639090,item_weight,51mgtCVidOL.jpg
65183,65242,https://m.media-amazon.com/images/I/51mgz54PyNL.jpg,106003,height,51mgz54PyNL.jpg
65184,65243,https://m.media-amazon.com/images/I/51mh+LmJkhL.jpg,478233,depth,51mh+LmJkhL.jpg
65185,65244,https://m.media-amazon.com/images/I/51mh+LmJkhL.jpg,478233,height,51mh+LmJkhL.jpg
65186,65245,https://m.media-amazon.com/images/I/51mhAWe-vYL.jpg,861555,height,51mhAWe-vYL.jpg
65187,65246,https://m.media-amazon.com/images/I/51mhHFmruwL.jpg,558806,width,51mhHFmruwL.jpg
65188,65247,https://m.media-amazon.com/images/I/51mhHFmruwL.jpg,558806,depth,51mhHFmruwL.jpg
65189,65248,https://m.media-amazon.com/images/I/51mhKCoq9bL.jpg,640408,width,51mhKCoq9bL.jpg
65190,65249,https://m.media-amazon.com/images/I/51mhKCoq9bL.jpg,640408,depth,51mhKCoq9bL.jpg
65191,65250,https://m.media-amazon.com/images/I/51mhUBQKSJL.jpg,639090,item_weight,51mhUBQKSJL.jpg
65192,65251,https://m.media-amazon.com/images/I/51mhVCHiowL.jpg,810266,height,51mhVCHiowL.jpg
65193,65252,https://m.media-amazon.com/images/I/51mha+6a8HL.jpg,478357,depth,51mha+6a8HL.jpg
65194,65253,https://m.media-amazon.com/images/I/51mhqzhCE2L.jpg,459271,maximum_weight_recommendation,51mhqzhCE2L.jpg
65195,65254,https://m.media-amazon.com/images/I/51mhsbw5qiL.jpg,988675,height,51mhsbw5qiL.jpg
65196,65255,https://m.media-amazon.com/images/I/51mhsbw5qiL.jpg,988675,depth,51mhsbw5qiL.jpg
65197,65256,https://m.media-amazon.com/images/I/51mhuML42rL.jpg,119607,width,51mhuML42rL.jpg
65198,65257,https://m.media-amazon.com/images/I/51mhuML42rL.jpg,119607,depth,51mhuML42rL.jpg
65199,65258,https://m.media-amazon.com/images/I/51mi6SQmxIS.jpg,752266,height,51mi6SQmxIS.jpg
65200,65259,https://m.media-amazon.com/images/I/51miCC1z7ZL.jpg,202651,height,51miCC1z7ZL.jpg
65201,65260,https://m.media-amazon.com/images/I/51miOXbrYdL.jpg,844474,width,51miOXbrYdL.jpg
65202,65261,https://m.media-amazon.com/images/I/51miRiAUr2L.jpg,810266,height,51miRiAUr2L.jpg
65203,65262,https://m.media-amazon.com/images/I/51miXHEkGeL.jpg,675317,height,51miXHEkGeL.jpg
65204,65263,https://m.media-amazon.com/images/I/51miXHEkGeL.jpg,675317,width,51miXHEkGeL.jpg
65205,65264,https://m.media-amazon.com/images/I/51miY5Y6uJL.jpg,507467,item_weight,51miY5Y6uJL.jpg
65206,65265,https://m.media-amazon.com/images/I/51miYE35bUL.jpg,970563,height,51miYE35bUL.jpg
65207,65266,https://m.media-amazon.com/images/I/51miYE35bUL.jpg,970563,depth,51miYE35bUL.jpg
65208,65267,https://m.media-amazon.com/images/I/51miZ5kJFxL.jpg,219211,wattage,51miZ5kJFxL.jpg
65209,65268,https://m.media-amazon.com/images/I/51miZ5kJFxL.jpg,219211,item_weight,51miZ5kJFxL.jpg
65210,65269,https://m.media-amazon.com/images/I/51mibm8dnXL.jpg,648011,height,51mibm8dnXL.jpg
65211,65270,https://m.media-amazon.com/images/I/51mibm8dnXL.jpg,648011,width,51mibm8dnXL.jpg
65212,65271,https://m.media-amazon.com/images/I/51mibm8dnXL.jpg,648011,depth,51mibm8dnXL.jpg
65213,65272,https://m.media-amazon.com/images/I/51mis9t3IOL.jpg,347404,height,51mis9t3IOL.jpg
65214,65273,https://m.media-amazon.com/images/I/51mis9t3IOL.jpg,347404,depth,51mis9t3IOL.jpg
65215,65274,https://m.media-amazon.com/images/I/51mizEGVnIL.jpg,120219,depth,51mizEGVnIL.jpg
65216,65275,https://m.media-amazon.com/images/I/51mizEGVnIL.jpg,120219,height,51mizEGVnIL.jpg
65217,65276,https://m.media-amazon.com/images/I/51mj+aEpagL.jpg,810266,width,51mj+aEpagL.jpg
65218,65277,https://m.media-amazon.com/images/I/51mj+aEpagL.jpg,810266,depth,51mj+aEpagL.jpg
65219,65278,https://m.media-amazon.com/images/I/51mj6FAPR-L.jpg,303395,width,51mj6FAPR-L.jpg
